INSTNM,SCH_DEG,PREDDEG,CONTROL,CCBASIC,ADM_RATE,ACTCM25,ACTCM75,ACTMTMID,ACTWRMID,SAT_AVG,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,labels
University of Pennsylvania,3.0,3.0,2.0,15.0,0.0898,33.0,35.0,33.0,9.0,1517.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
The University of the Arts,3.0,3.0,2.0,30.0,0.7582,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Cairn University-Langhorne,3.0,3.0,2.0,20.0,0.8145,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Philadelphia College of Osteopathic Medicine,3.0,4.0,2.0,25.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
University of the Sciences,3.0,3.0,2.0,26.0,0.7140000000000001,22.0,29.0,25.0,7.74,1218.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Community College of Philadelphia,2.0,2.0,1.0,1.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,12455.0,13594.0,16012.0,18211.0,18738.0,2
University of Pittsburgh-Bradford,3.0,3.0,1.0,22.0,0.7919,18.0,25.0,20.0,7.0,1055.0,10311.0,11724.0,17344.0,22401.0,23635.0,1
University of Pittsburgh-Greensburg,3.0,3.0,1.0,21.0,0.9002,20.0,24.0,22.0,7.0,1085.0,9777.0,11679.0,15996.0,20578.0,22756.0,1
University of Pittsburgh-Johnstown,3.0,3.0,1.0,22.0,0.8662,21.0,25.0,22.0,7.0,1108.0,10570.0,11073.0,17271.0,21035.0,22081.0,1
University of Pittsburgh-Pittsburgh Campus,3.0,3.0,1.0,15.0,0.6388,28.0,32.0,29.0,9.0,1346.0,15084.0,17691.0,24139.0,29274.0,32165.0,1
University of Pittsburgh-Titusville,3.0,2.0,1.0,4.0,0.75,20.59856630824373,26.247311827956988,22.647673314339986,7.0,1140.2142230026338,13145.0,9298.0,16883.0,21098.0,22184.0,2
Beaver Falls Beauty Academy,1.0,1.0,3.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Pittsburgh Institute of Aeronautics,1.0,1.0,2.0,11.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Pittsburgh Institute of Mortuary Science Inc,2.0,2.0,2.0,12.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Pittsburgh Technical College,2.0,2.0,2.0,14.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Pittsburgh Theological Seminary,3.0,4.0,2.0,24.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Point Park University,3.0,3.0,2.0,18.0,0.6951,18.0,26.0,21.0,7.74,1079.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Joseph F McCloskey School of Nursing,1.0,1.0,2.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
The Salon Professional Academy-Altoona,1.0,1.0,3.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Reading Area Community College,2.0,2.0,1.0,5.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,7858.0,7783.0,10171.0,13337.0,13508.0,2
Reading Hospital School of Health Sciences,1.0,1.0,2.0,-2.0,0.3304,20.59856630824373,26.247311827956988,22.647673314339986,7.74,998.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Reconstructionist Rabbinical College,1.9485129517109048,4.0,2.0,24.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Walnut Hill College,2.0,2.0,3.0,32.0,0.7475,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Robert Morris University,3.0,3.0,2.0,17.0,0.8563,24.0,28.0,25.0,7.74,1140.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Rosedale Technical College,2.0,2.0,2.0,11.0,0.5481,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
